tracking_id	AU-Ma-4C_FPKM	AU-Ma-30C_FPKM	AU-Fe-4C_FPKM	AU-Fe-30C_FPKM	SU-Fe-4C_FPKM	SU-Fe-30C_FPKM	SU-Hem-4C_FPKM	SU-Hem-30C_FPKM
evm.TU.contig_29560	0.697149	0.133312	0.200764	0	0.742627	0	0.336145	0.156175
evm.TU.contig_29561	0.633926	0.606765	1.26159	0.551901	0.158859	0.550728	1.16049	0.477982
evm.TU.contig_29609	1.68802	0.665753	1.27439	0.7128	1.62313	0.362091	2.0483	0.402773
evm.TU.contig_29644	27.4522	18.7805	32.833	17.3638	19.3224	16.3899	22.0212	16.2178
evm.TU.contig_29648	20.3677	102.497	24.2122	53.4505	60.4815	60.4137	28.3063	59.7675
evm.TU.contig_29663	1.37741	0	0	0	1.20477	0	0	0
evm.TU.contig_29747	60.8156	77.9597	65.4087	76.1803	72.4796	55.7954	69.8729	60.1009
evm.TU.contig_29749	0.0527731	0	0.465103	0	0.704034	0	0.0585435	0
evm.TU.contig_29821	23.9776	37.1187	28.6211	31.5081	16.8721	25.8099	18.8313	30.336
evm.TU.contig_29840	0	0	0	0	0	0	0	0
evm.TU.contig_29844	20.2241	86.9415	16.4925	101.296	18.5462	110.209	14.7057	94.481
evm.TU.contig_29864	0	0	0	0	0	0	0	0
evm.TU.contig_29865	78.5689	118.579	113.015	110.797	87.0416	91.4128	74.1017	89.8966
evm.TU.contig_29901	20.7451	14.8821	22.0847	15.6819	13.5268	12.5029	14.9691	10.1582
evm.TU.contig_29905	0	0	0	0	0	0	0	0
evm.TU.contig_29951	0	0	0	0	0	0	0	0
evm.TU.contig_29952	0	0	0	0	0.831569	0	0.308417	0
evm.TU.contig_29955	0	0	0	0	0	0	0	0
evm.TU.contig_29990	0.230793	0	0.223098	0	0.61263	0	0.159705	0
evm.TU.contig_30056	0	0	0	0	0	0	0	0
evm.TU.contig_30057	0	0	0	0	0	0	0	0
evm.TU.contig_30088	0	0	0	0	0	0	0	0
evm.TU.contig_30103	2.04527	29.1507	4.12372	15.5658	8.49963	21.9835	4.81285	19.0844
evm.TU.contig_30110	0	0	0	0	0	0	0	0
evm.TU.contig_30111	0	0	0	0	0	0	0	0
evm.TU.contig_30120	23.6859	45.7207	26.6297	43.1638	21.912	42.2237	22.5308	45.9533
evm.TU.contig_30125	97.3334	96.9431	93.2049	95.7308	111.82	100.067	93.5169	93.6598
evm.TU.contig_30133	12.1403	2.43748	12.8463	1.76881	31.4563	0.944836	19.1549	1.18558
evm.TU.contig_30141	0	0	0	0	0	0	0	0
evm.TU.contig_30144	12.0182	1.83205	5.80792	2.09555	6.80661	0.320549	8.56174	0.870571
evm.TU.contig_30198	678.908	48.5498	769.05	44.7356	650.635	31.8041	647.523	35.7939
evm.TU.contig_30203	0	0	0	0	0	0	0	0
evm.TU.contig_30246	0	0	0	0	0	0	0	0
evm.TU.contig_30295	1089.26	16.3793	1245.23	2.84531	1285.42	4.43483	980.295	5.22671
evm.TU.contig_30313	0	0	0	0	0	0	0	0
evm.TU.contig_30355	0	0	0	0	0	0	0	0
evm.TU.contig_30361	0	0	0.971519	0	0	0	0	0
evm.TU.contig_30379	196.747	139.544	135.615	135.149	108.118	102.657	100.145	121.351
evm.TU.contig_30383	0	0	0	0	0	0	0	0
evm.TU.contig_30384	0	0	0	0	0	0	0	0
evm.TU.contig_30398	0.0483157	0	0.061267	0	0.16357	0	0	0
evm.TU.contig_30403	0	0	0	0	0	0	0	0
evm.TU.contig_30435	0	0	0.0357093	0	0.180504	0	0.033243	0
evm.TU.contig_30444	17.4029	21.7734	20.0548	18.1916	8.66659	16.759	10.2084	16.6173
evm.TU.contig_30474	0.112971	0.25471	0.166146	0.244445	0.0702279	0.187391	0.0973959	0.305187
evm.TU.contig_30479	5.72895	2.14272	72.0523	1.16021	143.514	0.747393	4.56816	1.39385
evm.TU.contig_30482	56.9519	43.3474	58.9415	45.261	54.4079	40.142	49.1199	38.5307
evm.TU.contig_30496	11.799	14.4677	12.0968	12.4292	6.47344	9.49685	6.40678	9.77837
evm.TU.contig_30513	0	0	0	0	0	0	0	0
evm.TU.contig_30554	1.33698	0.602931	0.85625	0.385776	0.881864	0.995264	0.471659	0.77638
evm.TU.contig_30557	0	0	0	0	0	0	0	0
evm.TU.contig_30558	1.22802	1.4949	2.6565	1.47417	1.91458	0.716942	1.1583	1.38735
evm.TU.contig_30573	0	0	0	0	0	0	0	0
evm.TU.contig_30574	0	0	0	0	0	0	0	0
evm.TU.contig_30593	790.892	1039.68	854.307	933.589	2245.33	1327.78	1935.09	1197.36
evm.TU.contig_30608	0.160578	0.115737	0	0	0	0	0	0
evm.TU.contig_30610	0	0	0	0	0	0	0	0
evm.TU.contig_30654	9.52257	8.93994	13.8248	15.1349	19.0791	9.474	14.477	11.5094
evm.TU.contig_30685	113.017	116.985	157.096	113.625	85.7582	104.963	108.61	105.597
evm.TU.contig_30689	0	0	0	0	1.07843	0	0	0
evm.TU.contig_30749	0	0	0.0579561	0	0.215462	0	0	0
evm.TU.contig_30763	0	0	0	0	0	0	0	0
evm.TU.contig_30780	95.6316	7.60749	156.894	10.2269	14.6232	1.95937	15.7414	9.42287
evm.TU.contig_30861	42.6198	41.8966	44.2969	54.95	33.4227	36.6542	39.099	36.8309
evm.TU.contig_30864	4.06802	28.3194	2.84533	15.0252	2.96699	7.56982	1.39266	13.1284
evm.TU.contig_30904	0	0	0	0	0	0	0	0
evm.TU.contig_30909	44.6232	25.9947	49.976	13.5225	28.0728	2.52298	11.5114	6.3796
evm.TU.contig_30962	0	0	0	0	0	0	0	0
evm.TU.contig_30963	0	1.00464	0	0	1.0032	0.777745	0	0
evm.TU.contig_30980	0	0	0	0	0.196699	0	0	0
evm.TU.contig_30984	0	0	0	0	0	0	0	0
evm.TU.contig_30986	0	0	0	0	0	0	0	0
evm.TU.contig_30987	0	0	0	0	0	0	0	0
evm.TU.contig_31003	68.9598	65.0448	75.0266	67.5021	60.2945	54.8421	59.9427	53.4354
evm.TU.contig_31005	44.5321	72.4487	30.6446	84.2679	21.7591	65.1	27.6712	61.6096
evm.TU.contig_31034	0	0	0	0	0	0	0	0
evm.TU.contig_31037	0	0.138821	0.242064	0	0.176494	0.265974	0.325942	0
evm.TU.contig_31087	97.5257	58.1662	120.851	51.9214	37.9616	48.3629	49.4616	41.2567
evm.TU.contig_31099	0	0	1.1766	0	0	0	0	0
evm.TU.contig_31100	12.3907	8.24989	11.8453	6.25083	3.92107	11.1002	2.1508	12.6599
evm.TU.contig_31115	0	0	0	0	0	0	0	0
evm.TU.contig_31147	0	0	0	0	0	0	0	0
evm.TU.contig_31165	30.982	37.4318	44.7026	13.7503	18.4513	9.4021	9.09838	13.4111
evm.TU.contig_31168	16.8621	17.5177	18.1126	14.7315	28.9911	20.82	21.3344	17.8326
evm.TU.contig_31183	0.220722	0	0	0	0	0	0	0
evm.TU.contig_31184	114.982	75.3314	84.1831	72.228	70.3952	82.6542	47.649	89.0484
evm.TU.contig_31191	13.1586	16.8117	11.9478	16.0405	9.46182	13.3664	11.6791	13.6832
evm.TU.contig_31192	7.02162	4.24224	12.4426	10.7208	2.98986	3.74382	5.2545	6.94985
evm.TU.contig_31200	0	0	0	0	0	0	0	0
evm.TU.contig_31205	8.31497	4.79302	4.50443	7.44256	10.0923	9.81663	6.20329	8.61458
evm.TU.contig_31216	27.6198	15.956	4.00239	7.5478	91.3356	3.92799	7.58328	4.09492
evm.TU.contig_31224	0	0	24.4051	0	4.53654	0	0	0
evm.TU.contig_31226	0	0	0	0	0	0	0	0
evm.TU.contig_31245	0	0	0	0	0	0	0	0
evm.TU.contig_31254	0	0	0.0748036	0	0.139261	0	0	0
evm.TU.contig_31263	2.84803	4.69885	2.98453	5.01877	3.8949	6.41534	3.55046	5.91309
evm.TU.contig_31283	5.66785	14.5438	4.64822	15.5442	3.26196	11.9608	4.24801	12.9148
evm.TU.contig_31294	0	0	4.69477	0	0	0	0	0
evm.TU.contig_31298	0	0	0	0	0	0	0	0
evm.TU.contig_31346	9.8816	13.4468	0	12.3965	5.09129	11.3333	11.5417	15.6556
evm.TU.contig_31347	0	0	0	0	0.207044	0	0	0
evm.TU.contig_31349	560.665	99.8041	633.125	71.6236	513.834	65.5885	567.359	61.2194
evm.TU.contig_31397	11.2039	8.56434	12.8972	7.28893	5.15671	1.55399	4.00016	1.87553
evm.TU.contig_31416	65.8329	95.4057	93.0974	80.5909	146.085	25.2264	121.193	38.1884
evm.TU.contig_31433	82.3764	80.6759	98.3725	78.356	54.4522	42.9043	69.1708	52.9438
evm.TU.contig_31438	4.73729	0.44971	2.72568	0.440877	4.24965	0.958204	6.06496	1.35838
evm.TU.contig_31439	146.789	187.726	161.184	194.739	151.775	219.63	167.103	194.581
evm.TU.contig_31465	482.424	3146.52	555.506	2974.03	603.833	1863.76	689.209	1958.84
evm.TU.contig_31482	31.4949	28.5434	32.0879	27.3691	20.5541	30.3773	23.2158	27.507
evm.TU.contig_31488	14.6618	19.2648	15.1337	24.2536	7.68113	13.395	11.2316	12.9571
evm.TU.contig_31503	106.959	58.8993	174.98	95.8654	141.416	40.5152	157.973	37.2119
evm.TU.contig_31515	0	0	0	0	0	0	0	0
evm.TU.contig_31520	336.604	180.848	659.728	185.903	643.65	159.607	518.351	158.309
evm.TU.contig_31528	60.7916	45.6643	65.5288	47.6862	55.8251	16.1401	63.1328	14.3338
evm.TU.contig_31532	7.26981	8.21086	6.17724	8.01946	6.34042	6.72816	9.45005	7.8111
evm.TU.contig_31534	27.6135	31.0975	29.1606	34.2873	29.8193	36.3857	28.2436	32.2508
evm.TU.contig_31542	0	0	0	0	0	0	0	0
evm.TU.contig_31560	0	0	0	0	0	0	0.114302	0
evm.TU.contig_31584	96.8096	97.66	150.535	104.258	113.421	95.6791	95.9328	94.7444
evm.TU.contig_31592	54.513	61.0291	58.8969	67.3634	75.5954	59.5012	88.6077	60.6933
evm.TU.contig_31593	21.666	24.9511	30.1864	22.5931	5.95962	7.18047	8.5465	7.39069
evm.TU.contig_31644	0.459293	1.85877	0.708388	2.92076	0.186353	0.439239	0.15209	0.80434
evm.TU.contig_31645	0	0	0	0	0	0	0	0
evm.TU.contig_31672	4.34059	4.20139	3.91298	4.01045	6.70847	3.5	5.67742	4.70148
evm.TU.contig_31693	0	0	0	0	0	0	0	0
evm.TU.contig_31711	8.59027	5.97815	6.83858	10.8111	2.0182	1.31765	3.35328	2.66091
evm.TU.contig_31737	1.16296	0	0.621279	0	0.745337	0	0	0
evm.TU.contig_31756	118.342	112.375	125.199	108.279	60.6793	122.718	59.1809	110.917
evm.TU.contig_31780	0	0	0	0	0	0	0	0
evm.TU.contig_31793	1.76845	2.30831	0.736312	1.92514	1.15542	1.27479	0.827643	1.07445
evm.TU.contig_31799	0	0	0	0	0	0	0	0
evm.TU.contig_31807	0	0	0	0	0	0	0	0
evm.TU.contig_31810	0	0	0	0	1.17977	0	0	0
evm.TU.contig_31811	0	0	0	0	0	0	0	0
evm.TU.contig_31823	0	0	0	0	0	0	0	0
evm.TU.contig_31850	0	0	0	0	0	0	0	0
evm.TU.contig_31870	0	0	0	0	0	0	0	0
evm.TU.contig_31881	0	0	0	0	0	0	0	0
evm.TU.contig_31883	0	0	0	0	0	0	0	0
evm.TU.contig_31899	31.3275	33.0095	39.4769	26.6651	18.6209	24.6332	26.3844	18.8726
evm.TU.contig_31904	0	0	0	0	0	0	0	0
evm.TU.contig_31925	0.580398	2.7668	0.599712	2.58488	0.604235	0	0.31147	0
evm.TU.contig_31926	0	0	0	0	0	0	0	0
evm.TU.contig_31977	22.3724	33.9453	32.7702	25.7553	12.1641	20.319	18.9824	21.6534
evm.TU.contig_31983	4.2036	2.62572	4.67596	2.60246	1.00732	1.24094	2.26591	1.83719
